subgroup,name,maingroup,R,Q
1,CH3,1,0.9011,0.848
2,CH2,1,0.6744,0.54
3,CH,1,0.4469,0.228
4,C,1,0.2195,0
5,CH2=CH,2,1.3454,1.176
6,CH=CH,2,1.1167,0.867
7,CH2=C,2,1.1173,0.988
8,CH=C,2,0.8886,0.676
9,ACH,3,0.5313,0.4
10,AC,3,0.3652,0.12
11,ACCH3,4,1.2663,0.968
12,ACCH2,4,1.0396,0.66
13,ACCH,4,0.8121,0.348
14,OH,5,1,1.2
15,CH3OH,6,1.4311,1.432
16,H2O,7,0.92,1.4
17,ACOH,8,0.8952,0.68
18,CH3CO,9,1.6724,1.488
19,CH2CO,9,1.4457,1.18
20,CHO,10,0.998,0.948
21,CH3COO,11,1.9031,1.728
22,CH2COO,11,1.6764,1.42
23,HCOO,12,1.242,1.188
24,CH3O,13,1.145,1.088
25,CH2O,13,0.9183,0.78
26,CHO,13,0.6908,0.468
27,THF,13,0.9183,1.1
28,CH3NH2,14,1.5959,1.544
29,CH2NH2,14,1.3692,1.236
30,CHNH2,14,1.1417,0.924
31,CH3NH,15,1.4337,1.244
32,CH2NH,15,1.207,0.936
33,CHNH,15,0.9795,0.624
34,CH3N,16,1.1865,0.94
35,CH2N,16,0.9597,0.632
36,ACNH2,17,1.06,0.816
37,C5H5N,18,2.9993,2.113
38,C5H4N,18,2.8332,1.833
39,C5H3N,18,2.667,1.553
40,CH3CN,19,1.8701,1.724
41,CH2CN,19,1.6434,1.416
42,COOH,20,1.3013,1.224
43,HCOOH,20,1.528,1.532
44,CH2CL,21,1.4654,1.264
45,CHCL,21,1.238,0.952
46,CCL,21,1.0106,0.724
47,CH2CL2,22,2.2564,1.988
48,CHCL2,22,2.0606,1.684
49,CCL2,22,1.8016,1.448
50,CHCL3,23,2.87,2.41
51,CCL3,23,2.6401,2.184
52,CCL4,24,3.39,2.91
53,ACCL,25,1.1562,0.844
54,CH3NO2,26,2.0086,1.868
55,CH2NO2,26,1.7818,1.56
56,CHNO2,26,1.5544,1.248
57,ACNO2,27,1.4199,1.104
58,CS2,28,2.057,1.65
59,CH3SH,29,1.877,1.676
60,CH2SH,29,1.651,1.368
61,FURFURAL,30,3.168,2.484
62,DOH,31,2.4088,2.248
63,I,32,1.264,0.992
64,BR,33,0.9492,0.832
65,CH=-C,34,1.292,1.088
66,C=-C,34,1.0613,0.784
67,DMSO,35,2.8266,2.472
68,ACRY,36,2.3144,2.052
69,CL-(C=C),37,0.791,0.724
70,C=C,2,0.6605,0.485
71,ACF,38,0.6948,0.524
72,DMF,39,3.0856,2.736
73,HCON(..,39,2.6322,2.12
74,CF3,40,1.406,1.38
75,CF2,40,1.0105,0.92
76,CF,40,0.615,0.46
77,COO,41,1.38,1.2
78,SIH3,42,1.6035,1.2632
79,SIH2,42,1.4443,1.0063
80,SIH,42,1.2853,0.7494
81,SI,42,1.047,0.4099
82,SIH2O,43,1.4838,1.0621
83,SIHO,43,1.303,0.7639
84,SIO,43,1.1044,0.4657
85,NMP,44,3.981,3.2
86,CCL3F,45,3.0356,2.644
87,CCL2F,45,2.2287,1.916
88,HCCL2F,45,2.406,2.116
89,HCCLF,45,1.6493,1.416
90,CCLF2,45,1.8174,1.648
91,HCCLF2,45,1.967,1.828
92,CCLF3,45,2.1721,2.1
93,CCL2F2,45,2.6243,2.376
94,AMH2,46,1.4515,1.248
95,AMHCH3,46,2.1905,1.796
96,AMHCH2,46,1.9637,1.488
97,AM(CH3)2,46,2.8589,2.428
98,AMCH3CH2,46,2.6322,2.12
99,AM(CH2)2,46,2.4054,1.812
100,C2H5O2,47,2.1226,1.904
101,C2H4O2,47,1.8952,1.592
102,CH3S,48,1.613,1.368
103,CH2S,48,1.3863,1.06
104,CHS,48,1.1589,0.748
105,MORPH,49,3.474,2.796
106,C4H4S,50,2.8569,2.14
107,C4H3S,50,2.6908,1.86
108,C4H2S,50,2.5247,1.58
109,NCO,51,1.0567,0.732
118,(CH2)2SU,55,2.6869,2.12
119,CH2CHSU,55,2.4595,1.808
178,IMIDAZOL,84,2.026,0.868
179,BTI,85,5.774,4.932
