i,j,aij,aji
1,2,86.02,-35.36
1,3,61.13,-11.12
1,4,76.5,-69.7
1,5,986.5,156.4
1,6,697.2,16.51
1,7,1318,300
1,8,1333,275.8
1,9,476.4,26.76
1,10,677,505.7
1,11,232.1,114.8
1,12,507,329.3
1,13,251.5,83.36
1,14,391.5,-30.48
1,15,255.7,65.33
1,16,206.6,-83.98
1,17,920.7,1139
1,18,287.77,-101.56
1,19,597,24.82
1,20,663.5,315.3
1,21,35.93,91.46
1,22,53.76,34.01
1,23,24.9,36.7
1,24,104.3,-78.45
1,25,11.44,106.8
1,26,661.5,-32.69
1,27,543,5541
1,28,153.6,-52.65
1,29,184.4,-7.481
1,30,354.55,-25.31
1,31,3025,139.93
1,32,335.8,128
1,33,479.5,-31.52
1,34,298.9,-72.88
1,35,526.5,50.49
1,36,689,-165.9
1,37,-4.189,47.41
1,38,125.8,-5.132
1,39,485.3,-31.95
1,40,-2.859,147.3
1,41,387.1,529
1,42,-450.4,-34.36
1,43,252.7,110.2
1,44,220.3,13.89
1,45,-5.869,30.74
1,46,390.9,27.97
1,47,553.3,-11.92
1,48,187,39.93
1,49,216.1,-23.61
1,50,92.99,-8.479
1,51,699.13,456.19
1,55,808.59,245.21
1,84,-1243,125.36
1,85,637.65,221.56
2,3,38.81,3.446
2,4,74.15,-113.6
2,5,524.1,457
2,6,787.6,-12.52
2,7,270.6,496.1
2,8,526.1,217.5
2,9,182.6,42.92
2,10,448.75,56.3
2,11,37.85,132.1
2,12,333.5,110.4
2,13,214.5,26.51
2,14,240.9,1.163
2,15,163.9,-28.7
2,16,61.11,-25.38
2,17,749.3,2000
2,18,280.5,-47.63
2,19,336.9,-40.62
2,20,318.9,1264
2,21,-36.87,40.25
2,22,58.55,-23.5
2,23,-13.99,51.06
2,24,-109.7,160.9
2,25,100.1,70.32
2,26,357.5,-1.996
2,28,76.3,16.623
2,30,262.9,82.64
2,33,183.8,174.6
2,34,31.14,41.38
2,35,179,64.07
2,36,-52.87,573
2,37,-66.46,124.2
2,38,359.3,-131.7
2,39,-70.45,249
2,40,449.4,62.4
2,41,48.33,1397
2,44,86.46,-16.11
2,46,200.2,9.755
2,47,268.1,132.4
2,48,-617,543.6
2,49,62.56,161.1
2,55,200.94,384.45
2,84,-861.46,-391.81
2,85,424.93,629.96
3,4,167,-146.8
3,5,636.1,89.6
3,6,637.35,-50
3,7,903.8,362.3
3,8,1329,25.34
3,9,25.77,140.1
3,10,347.3,23.39
3,11,5.994,85.84
3,12,287.1,18.12
3,13,32.14,52.13
3,14,161.7,-44.85
3,15,122.8,-22.31
3,16,90.49,-223.9
3,17,648.2,247.5
3,18,-4.449,31.87
3,19,212.5,-22.97
3,20,537.4,62.32
3,21,-18.81,4.68
3,22,-144.4,121.3
3,23,-231.9,288.5
3,24,3,-4.7
3,25,187,-97.27
3,26,168.04,10.38
3,27,194.9,1824
3,28,52.068,21.497
3,29,-10.43,28.41
3,30,-64.69,157.29
3,31,210.366,221.4
3,32,113.3,58.68
3,33,261.3,-154.2
3,34,154.26,-101.12
3,35,169.9,-2.504
3,36,383.9,-123.6
3,37,-259.1,395.8
3,38,389.3,-237.2
3,39,245.6,-133.9
3,40,22.67,140.6
3,41,103.5,317.6
3,42,-432.3,787.9
3,43,238.9,234.4
3,44,30.04,-23.88
3,45,-88.11,167.9
3,47,333.3,-86.88
3,49,-59.58,142.9
3,50,-39.16,23.93
3,55,360.82,47.05
4,5,803.2,25.82
4,6,603.25,-44.5
4,7,5695,377.6
4,8,884.9,244.2
4,9,-52.1,365.8
4,10,586.8,106
4,11,5688,-170
4,12,197.8,428
4,13,213.1,65.69
4,14,19.02,296.4
4,15,-49.29,223
4,16,23.5,109.9
4,17,664.2,762.8
4,18,52.8,49.8
4,19,6096,-138.4
4,20,872.3,89.86
4,21,-114.14,122.91
4,22,-111,140.78
4,23,-80.25,69.9
4,24,-141.3,134.7
4,25,-211,402.5
